model,input,accuracy,balanced_accuracy,macro_f1,weighted_f1
LogisticRegression,current_only,0.5156794425087108,0.4813912250983189,0.4902679078131794,0.5214873265322301
LogisticRegression,context_current,0.49477351916376305,0.47492288032333796,0.47765977539455945,0.49844419936105583
MLP,context_current,0.49477351916376305,0.47873676285575595,0.47735835089925505,0.4979223356678316
MLP,current_only,0.4738675958188153,0.4384104530099953,0.4526278738806804,0.48197043106946735
LogisticRegression,context_only,0.5017421602787456,0.4238834239749572,0.42627286792261004,0.4884586417978013
MLP,context_only,0.40069686411149824,0.44283614173774355,0.40817511367008696,0.3813573649958529
